index,type,type,name,usage(KB),total(KB)
1,  string,string,,9.3,9.3
2,  xmodel,xmodel,com_pallet,41.5,41.7
3,  xmodel,xmodel,com_barrel_blue_rust,43.1,43.4
4,  xmodel,xmodel,vehicle_80s_hatch2_tandest,167.7,168.0
5,  xmodel,xmodel,ch_snack_machine_small_russia,65.9,66.7
6,  xmodel,xmodel,com_barrel_black,12.9,13.2
7,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
8,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
9,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
10,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
11,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
12,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
13,  techset,techset,sm2/mc_l_sm_r0c0d0n0s0,21.2,21.2
14,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,12.0,12.0
15,  techset,techset,mc_l_sm_r0c0d0n0s0,39.4,39.4
16,  techset,techset,mc_l_sm_r0c0d0n0,23.4,23.4
17,  techset,techset,mc_l_hsm_r0c0d0n0,14.3,14.3
18,  techset,techset,mc_l_hsm_r0c0d0n0s0,16.5,16.5
19,  xmodel,xmodel,aftermath_power_tower,11.5,12.4
20,  xmodel,xmodel,me_corrugated_metal4x4,23.6,23.9
21,  xmodel,xmodel,ch_furniture_couch01,64.2,64.5
22,  xmodel,xmodel,ch_russian_table_no_top,53.5,53.8
23,  xmodel,xmodel,ch_russian_table_cloth3,13.7,13.9
24,  xmodel,xmodel,com_restaurantsink_2comps,171.6,171.9
25,  xmodel,xmodel,com_restaurantstainlessteelshelf_02,63.7,64.0
26,  xmodel,xmodel,me_antenna2,48.8,49.0
27,  xmodel,xmodel,me_antenna3,47.0,47.0
28,  xmodel,xmodel,me_refrigerator,45.1,45.3
29,  xmodel,xmodel,me_woodcrateclosed,33.7,33.9
30,  xmodel,xmodel,me_woodcrateopen,39.4,39.4
31,  xmodel,xmodel,ch_mattress_bent_1,25.6,25.8
32,  xmodel,xmodel,com_cafe_chair,28.4,28.7
33,  xmodel,xmodel,ch_russian_table,58.3,58.3
34,  xmodel,xmodel,mil_bunker_bed2,47.5,47.9
35,  xmodel,xmodel,com_barrel_shard3,5.5,5.8
36,  xmodel,xmodel,com_cardboardbox03,18.0,18.4
37,  xmodel,xmodel,com_cardboardbox05,1.6,1.6
38,  xmodel,xmodel,com_cardboardbox04,2.2,2.2
39,  xmodel,xmodel,com_cardboardbox01,10.6,10.6
40,  xmodel,xmodel,bc_militarytent_wood_table,19.2,19.4
41,  xmodel,xmodel,me_market_stand1,11.1,11.3
42,  xmodel,xmodel,me_fanceil1,26.9,27.1
43,  xmodel,xmodel,me_electricbox4,12.3,12.5
44,  xmodel,xmodel,ch_bedframemetal_dark,53.5,53.7
45,  xmodel,xmodel,ch_mattress_2,36.8,36.8
46,  xmodel,xmodel,com_trashbag,19.9,20.1
47,  xmodel,xmodel,ch_street_wall_light_01_on,33.3,33.7
48,  xmodel,xmodel,cs_cargoship_wall_light_on,20.2,20.6
49,  xmodel,xmodel,ch_crate32x48,59.8,60.0
50,  xmodel,xmodel,ch_crate24x24,59.3,59.3
51,  xmodel,xmodel,cs_cargoship_spotlight_part1,13.1,13.4
52,  xmodel,xmodel,cs_cargoship_spotlight_on,43.8,43.9
53,  xmodel,xmodel,com_folding_table,67.3,67.7
54,  xmodel,xmodel,bathroom_toilet,78.7,79.2
55,  xmodel,xmodel,bathroom_towel,30.4,30.6
56,  xmodel,xmodel,bathroom_towel_rack,7.2,7.2
57,  xmodel,xmodel,com_french_bathtub_porcelain,41.5,41.7
58,  xmodel,xmodel,bathroom_faucet,18.1,18.1
59,  xmodel,xmodel,bathroom_sink,42.4,42.4
60,  xmodel,xmodel,bathroom_shower_curtain,17.6,17.8
61,  xmodel,xmodel,me_electricbox2,15.4,15.7
62,  xmodel,xmodel,com_electrical_pipe,9.1,9.3
63,  xmodel,xmodel,com_armoire_d,35.3,35.6
64,  xmodel,xmodel,com_bookshelves1_d,7.7,8.0
65,  xmodel,xmodel,com_longdiningtable_d,15.0,15.3
66,  xmodel,xmodel,com_dresser,14.6,14.9
67,  xmodel,xmodel,com_walltable1,20.8,20.8
68,  xmodel,xmodel,ch_radiator01,106.1,106.3
69,  xmodel,xmodel,me_market_cart1,43.8,44.0
